Britta Sven Natalia
joy joy joy
shock shock shock
none none none
anger anger anger
none none none
none none none
shock shock shock
none none none
joy joy joy
joy joy joy
none none none
none none none
none fear none
fear shock anger
shock shock anger
joy joy none
none none none
none none none
anger anger anger
shock shock anger
anger anger anger
none none none
anger anger anger
fear shock shock
joy joy joy
joy joy none
anger anger anger
fear none anger
none none joy
none anger joy
none none none
shock none none
anger shock anger
none none none
none none none
anger anger anger
none none none
anger anger anger
joy none joy
shock fear anger
none fear joy
anger anger none
anger anger none
none none joy
anger fear shock
none shock none
anger anger shock
fear anger anger
anger anger anger
joy none none
joy none none
none anger none
none joy none
none none none
none joy joy
anger anger anger
fear shock anger
none joy none
none none none
none joy none
anger anger anger
anger anger none
none none none
none none joy
joy joy none
shock fear shock
anger anger anger
joy joy joy
none fear none
joy anger none
shock shock anger
none fear none
joy none none
none none none
shock shock shock
anger anger anger
none none none
anger anger anger
none joy none
anger joy anger
none shock shock
none none none
none none none
none joy none
none fear none
joy none none
none none none
none none none
none none none
fear fear shock
anger joy none
none anger none
none none joy
joy none anger
fear fear anger
fear shock shock
none anger none
none none anger
shock anger anger
